epoch,loss,error_rate
1,4.33140268420339,0.8461538461538461
50,3.037846555645955,0.8461538461538461
100,2.333559902633298,0.46153846153846156
150,1.842287825927049,0.5
200,1.7974663944224667,0.4230769230769231
250,1.216097917412899,0.5
300,1.3126580463401984,0.34615384615384615
350,0.8347152917065201,0.3076923076923077
400,0.9858312797453617,0.34615384615384615
450,0.8339386793803485,0.19230769230769232
500,0.456991530427203,0.23076923076923078
550,0.46328669751875484,0.19230769230769232
600,0.313613563551256,0.19230769230769232
650,0.3952833377768057,0.19230769230769232
700,0.5003060791865384,0.15384615384615385
750,0.33950059513401243,0.19230769230769232
800,0.14310647096679263,0.19230769230769232
850,0.1659227762203157,0.15384615384615385
900,0.14461391908940868,0.15384615384615385
950,0.11633614629253497,0.2692307692307692
1000,0.2215836117710852,0.19230769230769232
1050,0.08703019958006264,0.15384615384615385
1100,0.09506460677254047,0.07692307692307693
1150,0.2734,0.1154
1200,0.4058,0.1538
1250,0.5613,0.1538
1300,0.7289,0.2308
1350,0.9142,0.2308
1400,1.1507,0.2692
1450,1.3865,0.3077
1500,1.6348,0.3462
1550,1.9021,0.3462
1600,2.1784,0.3846
