# word  x  y  z
animal  -0.15384016  0.00963480  -0.10685872
apple  0.06388169  0.21438848  -0.48165477
art  -0.21110292  0.07154930  -0.29432801
bad  -0.01599586  -0.01988609  -0.20106503
book  0.30551542  -0.29681787  0.06720223
cat  -0.07047459  -0.10163999  0.08471706
dog  -0.04228466  -0.26563083  -0.06316737
eyes  0.17393995  -0.37878873  0.03382249
fish  0.26858423  0.08721436  0.44423932
food  0.00458004  -0.00051432  0.10995409
hate  -0.01530621  0.02429895  0.33638685
milk  0.08116244  0.23771460  -0.24451114
movie  -0.29914652  0.04292824  -0.06315330
music  0.04217580  -0.24293014  -0.03613538
pet  -0.18753816  0.22594646  0.20141958
read  0.12960147  -0.02325483  -0.28883909
screen  0.05731697  0.20812627  -0.05504657
song  -0.25021618  -0.29461185  -0.08768192
watch  -0.11679229  0.20153663  0.14222933
water  -0.00735917  -0.12830253  0.11622399
wild  -0.08441553  0.00591198  0.00885002
