epoch,loss,cosine_delta
1,2.820877,-0.163542
2,0.000000,-0.163542
3,0.000000,-0.163542
4,8.427855,-0.125064
5,0.000000,-0.125064
6,0.000000,-0.125064
7,0.000000,-0.125064
8,4.159495,-0.127725
9,0.000000,-0.127725
10,3.625514,-0.066476
11,4.148647,-0.073983
12,0.000000,-0.073983
13,3.657258,-0.089270
14,0.000000,-0.089270
15,4.190161,-0.170133
16,0.000000,-0.170133
17,0.000000,-0.170133
18,0.000000,-0.170133
19,0.000000,-0.170133
20,0.000000,-0.170133
21,0.000000,-0.170133
22,0.000000,-0.170133
23,3.588219,-0.166347
24,0.000000,-0.166347
25,0.000000,-0.166347
26,16.184088,0.003567
27,0.000000,0.003567
28,0.000000,0.003567
29,0.000000,0.003567
30,4.272710,-0.000037
31,3.141006,-0.003515
32,4.265183,-0.001157
33,0.000000,-0.001157
34,4.156930,0.134708
35,8.584242,0.118675
36,0.000000,0.118675
37,0.000000,0.118675
38,6.653042,0.109421
39,0.000000,0.109421
40,0.000000,0.109421
41,4.240356,0.096724
42,0.000000,0.096724
43,0.000000,0.096724
44,0.000000,0.096724
45,0.000000,0.096724
46,0.000000,0.096724
47,4.368856,0.188363
48,4.281619,0.199390
49,0.000000,0.199390
50,4.589296,-0.067651
51,0.000000,-0.067651
52,7.831689,0.288269
53,0.000000,0.288269
54,0.000000,0.288269
55,4.346507,0.214153
56,4.061195,0.171832
57,3.716053,0.204582
58,0.000000,0.204582
59,3.942159,0.206206
60,0.000000,0.206206
61,12.730121,0.282541
62,0.000000,0.282541
63,0.000000,0.282541
64,3.292614,0.287329
65,0.000000,0.287329
66,3.403965,0.296365
67,2.468053,0.268963
68,4.238089,0.218095
69,4.299716,0.194577
70,0.000000,0.194577
71,8.489841,0.385843
72,6.158360,0.361567
73,2.972141,0.258032
74,4.098399,0.193800
75,4.203663,0.166209
76,0.000000,0.166209
77,0.000000,0.166209
78,4.156734,0.149610
79,0.000000,0.149610
80,0.000000,0.149610
81,7.121113,0.161852
82,2.574450,0.155107
83,4.129135,0.056984
84,0.000000,0.056984
85,3.184655,0.013345
86,4.280105,-0.020373
87,0.000000,-0.020373
88,0.000000,-0.020373
89,3.605555,-0.051666
90,4.798936,-0.148276
91,0.000000,-0.148276
92,3.324939,-0.090545
93,0.000000,-0.090545
94,2.549294,-0.092019
95,6.877785,0.069504
96,7.420547,-0.333787
97,4.398331,-0.302857
98,6.485110,-0.366732
99,0.000000,-0.366732
100,0.000000,-0.366732
101,2.810711,-0.432087
102,4.869548,-0.728411
103,0.000000,-0.728411
104,4.112649,-0.779803
105,4.101606,-0.729967
106,0.000000,-0.729967
107,0.000000,-0.729967
108,0.000000,-0.729967
109,4.219057,-0.732666
110,0.000000,-0.732666
111,0.000000,-0.732666
112,0.000000,-0.732666
113,3.687185,-0.720336
114,0.000000,-0.720336
115,6.209437,-0.587077
116,0.000000,-0.587077
117,1.991745,-0.589395
118,7.120926,-0.475340
119,0.000000,-0.475340
120,0.000000,-0.475340
121,8.848208,-0.489272
122,0.000000,-0.489272
123,0.000000,-0.489272
124,0.000000,-0.489272
125,0.000000,-0.489272
