epoch,loss,cosine_delta
1,12.724398,0.332057
2,8.486990,0.331916
3,12.031357,0.333646
4,20.518349,0.334510
5,11.332228,0.333416
6,7.793951,0.333785
7,16.974018,0.336058
8,0.000000,0.336058
9,14.864415,0.335436
10,15.569633,0.335402
11,4.243495,0.333301
12,0.000000,0.333301
13,7.787861,0.334909
14,8.499170,0.337509
15,4.249585,0.337954
16,4.231316,0.338055
17,8.480972,0.342197
18,11.994926,0.351094
19,12.013374,0.353660
20,7.113163,0.355195
21,8.468864,0.355926
22,16.232979,0.358751
23,7.787933,0.359061
24,14.870685,0.366344
25,4.255711,0.368589
26,8.444720,0.375111
27,0.000000,0.375111
28,0.000000,0.375111
29,21.284937,0.381214
30,3.496006,0.382178
31,0.000000,0.382178
32,8.505404,0.381437
33,3.538276,0.383693
34,0.000000,0.383693
35,0.000000,0.383693
36,23.303728,0.396564
37,14.791874,0.406178
38,12.001266,0.411174
39,7.757807,0.413230
40,18.391411,0.419494
41,7.040264,0.419891
42,16.263283,0.423574
43,20.367577,0.434508
44,8.463099,0.437459
45,0.000000,0.437459
46,4.237441,0.440519
47,12.736792,0.458501
48,8.396576,0.465628
49,16.896757,0.472927
50,12.652251,0.472584
51,0.000000,0.472584
52,7.764437,0.472301
53,4.201153,0.472291
54,4.177154,0.471480
55,8.379962,0.470414
56,8.494197,0.474845
57,12.719169,0.476101
58,4.286305,0.474031
59,7.727537,0.477673
60,4.231855,0.479067
61,3.490168,0.479027
62,4.219243,0.485045
63,42.999199,0.502578
64,0.000000,0.502578
65,8.483275,0.504968
66,11.874853,0.501613
67,3.489844,0.501569
68,12.561479,0.515990
69,16.899275,0.515951
70,16.031065,0.518204
71,12.658917,0.523303
72,12.612681,0.525521
73,7.643609,0.523529
74,8.421728,0.513562
75,8.403639,0.507277
76,16.241156,0.519014
77,7.764616,0.518474
78,12.610595,0.530048
79,7.697807,0.535929
80,4.237658,0.535709
81,3.508078,0.535895
82,7.741732,0.536755
83,4.237873,0.535086
84,20.303429,0.531777
85,11.069487,0.546096
86,3.508114,0.545401
87,16.067713,0.558283
88,15.757944,0.576061
89,0.000000,0.576061
90,0.000000,0.576061
91,16.886185,0.586827
92,11.907606,0.594196
93,14.497416,0.603855
94,7.680976,0.610887
95,7.664578,0.610360
96,20.926977,0.615840
97,20.270332,0.606502
98,19.054781,0.606521
99,9.851085,0.604500
100,20.217905,0.617769
101,6.047933,0.621073
102,0.000000,0.621073
103,0.000000,0.621073
104,6.858132,0.618449
105,8.322072,0.618163
106,18.287006,0.633173
107,4.189801,0.630573
108,4.104673,0.634709
109,12.498232,0.641473
110,8.188223,0.644686
111,20.726212,0.659781
112,12.438958,0.658728
113,8.256642,0.655165
114,15.440358,0.657907
115,8.070192,0.660508
116,3.961250,0.661085
117,10.673953,0.663807
118,15.746290,0.675837
119,19.806211,0.686110
120,3.573329,0.684128
121,28.293623,0.686202
122,12.024023,0.673806
123,8.300520,0.683841
124,8.308932,0.678819
125,14.836734,0.688726
126,8.192235,0.688190
127,15.137721,0.697541
128,3.385442,0.694718
129,8.076538,0.692559
130,14.698340,0.706112
131,4.125425,0.708018
132,6.246922,0.708689
133,8.392671,0.706918
134,7.800581,0.711568
135,11.843740,0.717386
136,9.695141,0.717540
137,4.106773,0.718466
138,8.253128,0.728420
139,20.063932,0.726962
140,10.915625,0.732337
141,4.377826,0.728344
142,0.000000,0.728344
143,15.533642,0.736145
144,12.903115,0.732347
145,20.671965,0.741101
146,13.495854,0.737884
147,16.080965,0.748216
148,16.691381,0.754472
149,25.257755,0.743615
150,7.184455,0.749928
151,0.000000,0.749928
152,7.813241,0.753595
153,8.258608,0.757262
154,10.686563,0.780145
155,8.151375,0.773232
156,11.188199,0.772966
157,6.943670,0.775193
158,4.240458,0.776909
159,15.559761,0.779757
160,19.199543,0.798463
161,0.000000,0.798463
162,7.670350,0.801525
163,11.531086,0.811510
164,8.297052,0.818242
165,14.146505,0.826272
166,16.144178,0.839783
167,3.648913,0.838054
168,11.179718,0.848829
169,4.152925,0.846251
170,16.173399,0.858174
171,8.489412,0.871571
172,8.025360,0.862885
173,8.214799,0.863190
174,12.044265,0.865479
175,7.016070,0.867926
176,33.668274,0.859539
177,10.486037,0.863770
178,19.508995,0.850344
179,11.962506,0.851943
180,12.693993,0.856336
181,7.920037,0.856340
182,4.240201,0.855148
183,0.000000,0.855148
184,12.590553,0.857522
185,8.271051,0.860582
186,0.000000,0.860582
187,11.174360,0.861198
188,4.057354,0.859922
189,10.398762,0.864083
190,7.508111,0.865017
191,4.018492,0.865578
192,12.857176,0.862030
193,0.000000,0.862030
194,7.732811,0.864620
195,18.681862,0.868379
196,4.160239,0.862720
197,0.000000,0.862720
198,4.484375,0.863144
199,4.364977,0.875877
200,16.300280,0.882845
201,4.005269,0.881298
202,7.588799,0.874776
203,23.094912,0.886189
204,2.665924,0.885438
205,3.858936,0.882632
206,17.624895,0.888238
207,13.952397,0.897717
208,0.000000,0.897717
209,6.368041,0.891979
210,12.176139,0.899648
211,0.000000,0.899648
212,3.971901,0.901224
213,8.627520,0.906717
214,12.175504,0.912280
215,18.322300,0.908326
216,3.530066,0.908379
217,15.134020,0.916397
218,7.566261,0.916184
219,15.305442,0.913509
220,3.025561,0.913510
221,12.456182,0.916438
222,0.000000,0.916438
223,11.032288,0.905687
224,4.135223,0.907405
225,18.546297,0.896633
226,11.887891,0.900273
227,4.079269,0.902764
228,24.146421,0.895075
229,7.748601,0.891561
230,22.984468,0.897474
231,0.000000,0.897474
232,0.000000,0.897474
233,17.973047,0.898466
234,3.972261,0.899989
235,9.843201,0.900361
236,3.668404,0.901144
237,22.740866,0.901689
238,11.939713,0.902061
239,14.147614,0.897447
240,0.000000,0.897447
241,7.581746,0.905310
242,10.122081,0.905428
243,27.436264,0.900084
244,12.729430,0.899415
245,10.811425,0.901256
246,11.074785,0.907990
247,7.394489,0.908053
248,0.000000,0.908053
249,7.757065,0.910124
250,15.398228,0.908193
251,7.729784,0.908035
252,7.823947,0.908524
253,0.000000,0.908524
254,7.283001,0.907762
